"SID","TestID","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22"
"280352",555555,"1","1","1","0","1","0","0","0","1","1","1","0","1","1","0","1","1","0","0","0","1","1"
"580947",555555,"0","1","1","0","0","0","0","0","1","0","0","0","1","0","0","1","1","0","1","1","1","0"
"308560",555555,"0","0","0","1","0","1","0","1","0","1","0","0","1","0","1","0","1","1","1","0","0","0"
"142448",555555,"0","0","0","1","1","1","0","1","1","1","1","0","1","1","0","1","1","0","0","0","0","1"
"252985",555555,"1","0","0","0","0","0","1","1","0","0","0","1","1","0","0","1","0","1","0","1","0","0"
"899585",555555,"1","0","1","1","1","0","1","1","0","0","0","0","0","0","1","1","0","1","1","0","0","1"
"703837",555555,"0","1","0","0","0","0","1","1","1","1","1","0","1","0","1","1","1","0","0","1","1","0"
"477520",555555,"0","1","0","0","1","0","0","1","0","0","1","1","1","1","1","1","1","1","1","1","0","0"
"471081",555555,"0","1","1","0","0","1","0","0","0","1","1","1","0","1","0","0","0","0","1","1","1","1"
"461971",555555,"1","0","1","0","1","0","0","0","1","0","0","1","0","0","1","0","1","1","1","1","0","0"
"780297",555555,"1","0","0","0","1","0","1","0","1","0","1","1","0","0","1","1","1","1","1","0","0","0"
"445633",555555,"0","1","1","1","0","1","0","0","0","1","1","0","0","1","1","1","1","1","0","1","1","0"
"330223",555555,"0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","1","0","1","1","0"
"366721",555555,"1","1","1","0","1","1","0","1","0","1","0","1","0","1","1","1","0","1","0","1","0","1"
"557953",555555,"0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","0","1","1","0","0","0"
"756680",555555,"0","1","0","0","1","0","0","1","0","1","0","1","0","0","0","0","1","0","0","1","1","0"
"867979",555555,"0","0","0","1","0","0","0","1","1","1","0","0","0","1","1","1","1","1","1","1","1","0"
"297970",555555,"0","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","0","1","0","1","1","1"
"656467",555555,"0","0","1","0","1","0","1","1","1","0","1","0","1","1","1","0","1","1","0","1","0","0"
"851292",555555,"0","1","0","1","1","0","0","0","1","1","0","1","1","0","1","1","0","1","0","0","1","1"
"699097",555555,"0","0","1","0","0","1","1","0","1","0","0","1","0","0","1","0","0","0","0","0","1","1"
"848446",555555,"0","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","1","1","0","0","1","0"
"629718",555555,"0","0","0","1","1","0","0","1","0","1","1","1","1","1","0","1","1","0","1","0","0","0"
"498886",555555,"1","0","0","1","1","0","0","1","1","1","0","1","1","0","1","0","0","0","1","0","0","1"
"249488",555555,"1","1","0","1","0","0","0","1","0","1","0","0","0","1","0","1","1","1","1","1","1","1"
"208529",555555,"1","0","0","1","0","1","0","0","1","0","1","1","1","0","1","0","0","0","1","1","0","1"
"421993",555555,"1","1","0","1","1","0","0","1","0","0","0","0","1","0","0","0","0","1","1","0","1","1"
"427569",555555,"1","0","0","1","0","0","1","1","0","0","1","0","0","0","1","1","1","1","1","1","1","1"
"342783",555555,"0","0","1","0","1","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0"
"484551",555555,"0","0","1","0","1","0","0","0","1","0","0","1","0","1","1","1","1","1","0","1","0","1"
"358713",555555,"1","1","0","0","0","1","0","0","0","1","0","1","1","1","1","0","1","0","1","1","1","0"
"676291",555555,"1","0","0","1","1","1","1","0","0","0","1","1","1","1","1","1","1","1","0","1","0","1"
"848362",555555,"0","1","0","1","0","0","0","0","1","0","1","0","0","0","0","0","1","1","0","0","1","0"
"902632",555555,"0","0","0","1","0","0","0","1","1","0","1","0","1","0","1","1","0","1","1","0","1","0"
"804108",555555,"1","0","0","0","0","1","0","0","0","1","1","1","0","0","1","1","1","0","1","1","1","1"
"119064",555555,"0","0","1","0","1","1","1","0","1","1","0","0","1","1","1","0","0","0","0","1","0","1"
"383812",555555,"0","1","0","1","1","1","1","1","0","0","0","1","0","0","0","1","1","0","1","0","0","1"
"302800",555555,"0","1","0","1","0","0","0","1","0","1","0","0","1","1","1","0","0","0","1","1","1","1"
"964064",555555,"1","1","1","1","1","0","1","0","0","1","1","1","0","0","1","1","1","0","1","1","1","1"
"754769",555555,"1","1","1","1","0","0","1","1","1","1","1","1","0","1","1","0","0","1","0","1","0","1"
"949665",555555,"0","0","0","0","1","1","0","0","1","0","0","0","0","1","1","0","1","1","0","0","1","0"
"831279",555555,"1","1","0","0","1","1","1","0","1","0","0","0","1","0","1","1","0","1","1","0","0","1"
"368491",555555,"0","0","0","0","0","1","1","0","1","1","0","1","0","0","1","0","0","1","1","0","0","1"
"646550",555555,"1","1","1","0","1","0","0","1","1","1","1","0","0","0","1","1","0","0","0","1","1","0"
"976342",555555,"1","0","0","0","1","1","0","0","0","1","0","0","1","0","1","1","1","0","0","0","1","1"
"591954",555555,"1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","0","1","1","0","0","0","1"
"239206",555555,"1","1","1","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","1","0","1","1"
